Conference,Year,Title,Author,Affiliation
NeurIPS,2006,Multiple timescales and uncertainty in motor adaptation,"['Konrad P Kording', 'Josh Tenenbaum', 'Reza Shadmehr']","['MIT', 'MIT', 'None']"
NeurIPS,2006,Learning from Multiple Sources,"['Yacov Crammer', 'Michael Kearns', 'Jenn Wortman Vaughan']","['Technion', 'University of Pennsylvania', 'Microsoft Research']"
NeurIPS,2006,Adaptor Grammars: A Framework for Specifying Compositional Nonparametric Bayesian Mod,"['Mark Johnson', 'Tom Griffiths', 'Sharon Goldwater']","['Macquarie University', 'Princeton', 'University of Edinburgh']"
NeurIPS,2006,MLLE: Modified Locally Linear Embedding Using Multiple Weights,"['Jing Wang', 'Zhenyue Zhang']","['Huaqiao University', 'None']"
NeurIPS,2006,Stratification Learning: Detecting Mixed Density and Dimensionality in High Dimensional Point Clouds,"['Gloria Haro', 'Gregory Randall', 'Guillermo Sapiro']","['Universitat Politecnica de Catalunya (UPC)', 'None', 'Duke University']"
NeurIPS,2006,Robotic Grasping of Novel Objects,"['Ashutosh Saxena', 'Justin Driemeyer', 'Justin Kearns', 'Andrew Y Ng']","['Stanford University', 'None', 'None', 'DeepLearning.AI']"
NeurIPS,2006,A Scalable Machine Learning Approach to Go,"['Lin Wu', 'Pierre Baldi']","['University of California, Irvine', 'UC Irvine']"
NeurIPS,2006,Accelerated Variational Dirichlet Process Mixtures,"['Kenichi Kurihara', 'Max Welling', 'Nikos Vlassis']","['Google', 'University of Amsterdam / Qualcomm AI Research', 'Netflix']"
NeurIPS,2006,A Bayesian Approach to Diffusion Models of Decision-Making and Response Time,"['Michael D Lee', 'Ian Fuss', 'Daniel Navarro']","['University of California, Irvine', 'None', 'University of Adelaide']"
NeurIPS,2006,Convex Repeated Games and Fenchel Duality,"['Shai Shalev-Shwartz', 'Yoram Singer']","['Mobileye & HUJI', 'Princeton']"
NeurIPS,2006,Optimal Single-Class Classification Strategies,"['Ran El-Yaniv', 'Mordechai Nisenson']","['Technion & Google', 'Technion - Israel Institute of Technology']"
NeurIPS,2006,Information Bottleneck for Non Co-Occurrence Data,"['Yevgeny Seldin', 'Noam Slonim', 'Naftali Tishby']","['University of Copenhagen', 'IBM Research', 'The Hebrew University Jerusalem']"
NeurIPS,2006,Learning annotated hierarchies from relational data,"['Dan Roy', 'Charles Kemp', 'Vikash Mansinghka', 'Josh Tenenbaum']","['Univ of Toronto & Vector', 'Carnegie Mellon University', 'Massachusetts Institute of Technology', 'MIT']"
NeurIPS,2006,The Robustness-Performance Tradeoff in Markov Decision Processes,"['Huan Xu', 'Shie Mannor']","['National University of Singapore', 'McGill University']"
NeurIPS,2006,A Kernel Method for the Two-Sample-Problem,"['Arthur Gretton', 'Karsten Borgwardt', 'Malte J Rasch', 'Bernhard Schölkopf', 'Alex Smola']","['Gatsby Unit, UCL', 'ETH Zurich', 'Graz University of Technology', 'MPI for Intelligent Systems, Tübingen', 'Amazon - We are hiring!']"
NeurIPS,2006,Greedy Layer-Wise Training of Deep Networks,"['Yoshua Bengio', 'Pascal Lamblin', 'Dan Popovici', 'Hugo Larochelle']","['University of Montreal', 'Google', 'University of Montreal', 'Twitter']"
NeurIPS,2006,Randomized Clustering Forests for Building Fast and Discriminative Visual Vocabularies,"['Frank Moosmann', 'Bill Triggs', 'FREDERIC JURIE']","['Uni-Karlsruhe', 'CNRS', 'CNRS']"
NeurIPS,2006,An Application of Reinforcement Learning to Aerobatic Helicopter Flight,"['Pieter Abbeel', 'Adam P Coates', 'Andrew Y Ng', 'Morgan Quigley']","['UC Berkeley & Covariant', 'Stanford University', 'DeepLearning.AI', 'Stanford University']"
NeurIPS,2006,Fast Iterative Kernel PCA,"['Nic Schraudolph', 'Simon Günter', 'Vishwanathan S V N']","['National ICT Australia', 'None', 'National ICT Australia']"
NeurIPS,2006,An Efficient Method for Gradient-Based Adaptation of Hyperparameters in SVM Models,"['Sathiya Selvaraj Keerthi', 'Vikas Sindhwani', 'Olivier Chapelle']","['Yahoo!', 'Google', 'Google']"
NeurIPS,2006,TrueSkill: A Bayesian Skill Rating System,"['Ralf Herbrich', 'Tom Minka', 'Thore K Graepel']","['Amazon', 'MSR', 'Microsoft Research Cambridge (UK)']"
NeurIPS,2006,Denoising and Dimension Reduction in Feature Space,"['Mikio L Braun', 'Joachim M Buhmann', 'Klaus-Robert Müller']","['TU Berlin', 'ETH Zurich', 'TU Berlin']"
NeurIPS,2006,Sample Complexity of Policy Search with Known Dynamics,"['Peter Bartlett', 'Ambuj Tewari']","['UC Berkeley', 'University of Michigan']"
NeurIPS,2006,Fundamental Limitations of Spectral Clustering Methods,"['Boaz Nadler', 'Meirav Galun']","['Weizmann Institute of Science', 'Weizmann Institute of Science']"
NeurIPS,2006,Combining causal and similarity-based reasoning,"['Charles Kemp', 'Patrick Shafto', 'Allison Berke', 'Josh Tenenbaum']","['Carnegie Mellon University', 'University of Louisville', 'None', 'MIT']"
NeurIPS,2006,PAC-Bayes Bounds for the Risk of the Majority Vote and the Variance of the Gibbs Classifier,"['Alexandre Lacasse', 'Francois Laviolette', 'Mario Marchand', 'Pascal Germain', 'Nicolas Usunier']","['Universite Laval', 'Université Laval', 'Université Laval', 'Laval University', 'Université Pierre et Marie Curie']"
NeurIPS,2006,Bayesian Policy Gradient Algorithms,"['Mohammad Ghavamzadeh', 'Yaakov Engel']","['Facebook AI Research', 'Rafael']"
NeurIPS,2006,Correcting Sample Selection Bias by Unlabeled Data,"['Jiayuan Huang', 'Alex Smola', 'Arthur Gretton', 'Karsten Borgwardt', 'Bernhard Schölkopf']","['University of Waterloo', 'Amazon - We are hiring!', 'Gatsby Unit, UCL', 'ETH Zurich', 'MPI for Intelligent Systems, Tübingen']"
NeurIPS,2006,Temporal and Cross-Subject Probabilistic Models for fMRI Prediction Task,"['Alexis Battle', 'Gal Chechik', 'Daphne Koller']","['Stanford University', 'NVIDIA, BIU', 'insitro']"
NeurIPS,2006,Efficient Learning of Sparse Representations with an Energy-Based Model,"[""Marc'Aurelio Ranzato"", 'Christopher Poultney', 'Sumit Chopra', 'Yann LeCun']","['Facebook AI Research', 'None', 'AT&T Research Labs', 'Facebook AI Research and New York University']"
NeurIPS,2006,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,"['Long Zhu', 'Yuanhao Chen', 'Alan L Yuille']","['Massachusetts Institute of Technology', 'University of California, Los Angeles', 'UCLA']"
NeurIPS,2006,Structure Learning in Markov Random Fields,"['Sridevi Parise', 'Max Welling']","['None', 'University of Amsterdam / Qualcomm AI Research']"
NeurIPS,2006,Data Integration for Classification Problems Employing Gaussian Process Priors,"['Mark A Girolami', 'Mingjun Zhong']","['University of Glasgow', 'Dalian Nationalities University']"
NeurIPS,2006,A Novel Gaussian Sum Smoother for Approximate Inference in Switching Linear Dynamical,"['David Barber', 'Bertrand Mesot']","['University College London', 'IDIAP Research Institute']"
NeurIPS,2006,A recipe for optimizing a time-histogram,"['Hideaki Shimazaki', 'Shigeru Shinomoto']","['Kyoto University', 'Kyoto University']"
